,Combined_Test_acc,Combined_Train_acc,Other_NLL,Other_OT,Test_NLL,Test_OT,Test_Test_acc,Test_Train_acc,Train_NLL,Train_OT,Train_Test_acc,Train_Train_acc,lip_loss,model_Test_acc,model_Train_acc
0,0.85,0.7888888888888889,406.2176513671875,29.462047576904297,471.2171325683594,30.272361755371094,0.8875,0.7722222222222223,448.7080078125,29.812400817871094,0.85,0.8,0.39140576124191284,0.85,0.8
1,0.875,0.8,291.8064880371094,26.453567504882812,323.50006103515625,27.48417091369629,0.8875,0.7861111111111111,297.318359375,26.7423095703125,0.875,0.8055555555555556,0.354159414768219,0.775,0.7055555555555556
2,0.8875,0.8194444444444444,210.40113830566406,23.985498428344727,230.6061553955078,25.123214721679688,0.8875,0.7861111111111111,204.45391845703125,24.348466873168945,0.9,0.825,0.37763985991477966,0.6125,0.6222222222222222
3,0.9,0.8277777777777777,140.6316680908203,21.9990234375,155.02615356445312,23.21705436706543,0.9,0.7888888888888889,128.1314239501953,22.300304412841797,0.875,0.8305555555555556,0.4256810247898102,0.5875,0.5666666666666667
4,0.9,0.8388888888888889,75.88587951660156,20.37046241760254,86.86627960205078,21.67221450805664,0.9125,0.8083333333333333,58.23851013183594,20.713533401489258,0.8625,0.8333333333333334,0.5639036893844604,0.5625,0.5333333333333333
5,0.9,0.8444444444444444,13.854948997497559,19.12024688720703,22.414209365844727,20.571044921875,0.925,0.8027777777777778,-8.5615873336792,19.44135093688965,0.8375,0.8472222222222222,0.7617069482803345,0.5625,0.5138888888888888
6,0.875,0.8611111111111112,-46.6971549987793,18.217662811279297,-40.09954833984375,19.685720443725586,0.925,0.7805555555555556,-73.62772369384766,18.473617553710938,0.825,0.8555555555555555,1.0114760398864746,0.55,0.5083333333333333
7,0.8625,0.8638888888888889,-106.50594329833984,17.534345626831055,-101.60248565673828,18.940996170043945,0.925,0.7666666666666667,-137.60069274902344,17.730592727661133,0.825,0.8694444444444445,1.3027349710464478,0.55,0.5055555555555555
8,0.8375,0.8638888888888889,-165.72804260253906,17.060300827026367,-162.1368865966797,18.56956672668457,0.925,0.7722222222222223,-200.62966918945312,17.180694580078125,0.8,0.8833333333333333,2.036468267440796,0.55,0.5027777777777778
9,0.825,0.8638888888888889,-224.25050354003906,16.7827091217041,-221.5594024658203,18.208524703979492,0.925,0.7694444444444445,-262.7471923828125,16.838375091552734,0.7875,0.8916666666666667,3.235790729522705,0.55,0.5027777777777778
10,0.8,0.8777777777777778,-281.028564453125,16.52776336669922,-279.17816162109375,18.121286392211914,0.9375,0.7638888888888888,-323.3531188964844,16.556791305541992,0.7625,0.9055555555555556,4.402557373046875,0.55,0.5027777777777778
11,0.825,0.8833333333333333,-335.6650390625,16.40582275390625,-334.2090759277344,17.822269439697266,0.9375,0.7527777777777778,-382.2832946777344,16.33938217163086,0.725,0.9138888888888889,6.445198059082031,0.55,0.5
12,0.825,0.9,-387.2861022949219,16.292118072509766,-385.93109130859375,17.69569206237793,0.9375,0.7472222222222222,-438.99188232421875,16.151409149169922,0.725,0.9194444444444444,8.589110374450684,0.575,0.5
13,0.7875,0.9055555555555556,-434.83807373046875,16.081151962280273,-433.7433776855469,17.339807510375977,0.925,0.7333333333333333,-493.52117919921875,15.917593955993652,0.7125,0.925,11.196805953979492,0.575,0.5
14,0.7625,0.9111111111111111,-478.1369934082031,15.806894302368164,-477.38677978515625,17.17313003540039,0.9125,0.7083333333333334,-545.1427001953125,15.66469955444336,0.7,0.9416666666666667,14.200230598449707,0.6125,0.5027777777777778
15,0.7625,0.9166666666666666,-518.0858154296875,15.596433639526367,-517.4365844726562,16.938962936401367,0.9125,0.6861111111111111,-595.5299682617188,15.395111083984375,0.7,0.95,18.640029907226562,0.6375,0.5027777777777778
16,0.725,0.9194444444444444,-552.8792724609375,15.370743751525879,-551.8483276367188,16.783458709716797,0.9125,0.6666666666666666,-642.3357543945312,15.15087604522705,0.7,0.9527777777777777,21.96010398864746,0.6875,0.5027777777777778
